Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
6/2/22,Scituate,29,18.4,4,1090.883,1418.439,1176.876,193.348,275.326,271.963,2910.817,2992.554,2921.651
6/2/22,Scituate,30,14.8,4,1111.093,1286.270,1171.043,191.016,247.616,246.194,2742.918,2802.774,2750.033
6/2/22,Scituate,31,19.0,3,1109.034,1503.553,1253.167,193.658,334.406,333.025,2954.564,3097.106,2960.579
6/2/22,Scituate,32,16.8,3,1124.296,1449.733,1228.540,196.443,297.607,297.604,2833.044,2935.664,2838.028
6/2/22,Scituate,33,17.6,2,1048.481,1362.351,1164.205,193.807,305.932,304.135,2467.515,2582.280,2476.877
6/2/22,Scituate,34,15.0,2,1111.742,1248.356,1171.822,194.047,250.277,248.957,2874.048,2928.987,2881.592
6/2/22,Scituate,35,25.8,3,1082.403,2014.136,1426.736,194.686,535.031,534.601,2526.580,2869.034,2555.125
6/2/22,Scituate,36,21.5,3,1027.019,1601.771,1231.373,194.138,395.264,394.389,2793.983,2996.403,2803.249
6/2/22,Scituate,37,19.1,3,1074.774,1479.130,1220.654,193.631,336.334,336.037,2971.171,3116.003,2988.236
6/2/22,Scituate,38,18.5,1,1074.690,1549.023,1192.275,195.418,303.786,295.612,2998.812,3101.372,3005.264
6/2/22,Scituate,39,21.3,3,1099.820,1679.544,1305.576,196.810,398.692,396.201,2765.140,2966.951,2785.853
6/2/22,Scituate,40,18.3,2,1087.962,1321.469,1168.506,194.980,273.110,272.991,2752.405,2832.609,2758.133
6/2/22,Scituate,41,18.2,2,1101.762,1414.650,1213.327,196.019,303.873,303.827,2563.408,2673.836,2570.379
6/2/22,Scituate,42,19.2,3,1080.967,1527.731,1221.549,196.212,332.425,331.847,2586.976,2726.053,2595.230
6/2/22,Scituate,43,17.0,3,1070.089,1329.803,1159.478,197.492,282.504,281.336,2889.254,2974.377,2896.966
6/2/22,Scituate,44,30.4,3,1075.556,2543.670,1587.523,196.465,700.141,695.286,2910.061,3411.023,2977.059
6/2/22,Scituate,45,17.2,4,1073.611,1361.345,1167.183,197.750,287.237,285.894,2716.876,2806.775,2722.964
6/2/22,Scituate,46,24.1,4,1063.022,1638.478,1284.351,169.733,414.209,412.791,2956.152,3174.020,2985.073
6/2/22,Scituate,48,23.1,2,1119.406,1740.287,1358.847,197.493,318.454,318.177,2468.186,2590.794,2482.720
6/2/22,Scituate,49,21.6,2,1077.196,1692.810,1271.280,197.562,386.127,384.862,2847.611,3062.626,2897.880
6/2/22,Scituate,50,22.2,3,1047.130,1602.393,1235.353,194.596,379.026,378.267,2527.576,2712.913,2552.869
6/2/22,Scituate,51,22.9,2,1060.757,1660.446,1252.139,196.348,384.117,383.983,2796.121,2985.450,2800.186
6/2/22,Scituate,52,22.6,2,1093.348,1826.776,1316.128,196.814,415.143,415.054,2972.426,3191.528,2992.940
6/2/22,Scituate,53,19.1,3,1079.201,1546.473,1232.791,197.544,346.737,345.208,3000.468,3148.648,3005.940
7/11/22,Bristol,1,22.8,3,1077.737,1576.540,1192.482,188.147,289.093,278.444,2957.819,3052.682,2965.263
7/11/22,Bristol,2,19.4,3,1078.188,1385.970,1158.083,188.106,266.096,256.960,2834.133,2906.853,2840.505
7/11/22,Bristol,3,22.3,3,1128.670,1614.565,1259.915,187.887,311.577,306.699,2469.285,2591.884,2478.178
7/11/22,Bristol,4,21.4,4,1135.340,1573.673,1231.522,188.231,277.734,268.156,2877.392,2960.274,2885.675
7/11/22,Bristol,5,15.9,2,1056.450,1232.180,1103.708,189.228,235.452,231.002,2527.512,2572.448,2531.499
7/11/22,Bristol,7,23.4,2,1048.665,1501.874,1218.136,187.594,356.978,352.234,2971.724,3140.199,2998.579
7/11/22,Bristol,8,15.8,3,1072.688,1242.400,1115.665,199.193,242.065,236.694,2999.557,3041.050,3003.140
7/11/22,Bristol,9,20.1,2,1063.889,1509.436,1185.731,194.348,315.311,307.467,2765.639,2882.512,2776.342
7/11/22,Bristol,10,21.6,3,1056.139,1477.637,1148.705,196.180,288.918,281.149,2752.475,2840.976,2759.975
7/11/22,Bristol,11,22.8,2,1125.621,1578.377,1243.262,189.216,306.090,298.239,2562.300,2675.430,2572.569
7/11/22,Bristol,12,22.4,3,1056.780,1663.532,1176.021,194.384,308.314,297.510,2587.129,2693.450,2597.810
7/11/22,Bristol,13,23.7,2,1120.170,1468.364,1200.119,196.625,261.416,252.104,2888.993,2948.325,2894.301
7/11/22,Bristol,14,19.8,2,1056.654,1450.781,1152.002,196.718,290.287,283.933,2910.788,3001.324,2917.917
7/11/22,Bristol,15,17.3,2,1094.927,1300.293,1160.312,198.324,264.457,261.681,2716.381,2782.407,2721.314
7/11/22,Bristol,16,21.7,2,1090.735,1461.007,1175.385,197.063,279.056,271.599,2955.793,3033.182,2962.508
7/11/22,Bristol,17,17.9,3,1029.904,1346.001,1199.599,189.817,259.729,255.453,2834.090,2902.761,2840.032
7/11/22,Bristol,18,16.3,2,1108.587,1350.214,1177.012,189.999,258.575,253.132,2468.778,2534.336,2473.652
7/11/22,Bristol,19,14.0,4,1089.744,1260.936,1125.809,197.148,233.812,229.098,2876.897,2911.999,2880.316
7/11/22,Bristol,20,17.1,3,1122.311,1407.772,1183.062,197.196,257.054,250.129,2527.739,2583.514,2532.600
7/11/22,Bristol,21,17.3,3,1106.234,1421.023,1178.946,193.856,267.047,259.704,2795.129,2863.286,2801.400
7/11/22,Bristol,22,14.5,2,1066.267,1177.764,1109.554,200.620,244.309,241.257,2971.911,3015.456,2975.197
7/11/22,Bristol,23,14.5,3,1094.791,1255.429,1129.914,198.356,233.967,229.847,2999.751,3033.575,3002.493
